Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
64,W6CX,147.060000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
65,KQ6YG,440.050000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
66,KR6WP,440.075000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
67,KM6EF,440.350000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
68,KK6AN,440.475000,+,5.000000,Tone,71.9,88.5,023,NN,FM,5.00,,,,,,
69,N3TC,440.525000,+,5.000000,Tone,225.7,88.5,023,NN,FM,5.00,,,,,,
70,W6RV,440.550000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
71,W6EBW,440.575000,+,5.000000,Tone,118.8,88.5,023,NN,FM,5.00,,,,,,
72,WA2UNP,440.900000,+,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
73,KB6LED,440.950000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
74,WA6TOW,441.075000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
75,W6RCA,441.225000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
76,K6DNA,441.250000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
77,KR6BEN,441.250000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
78,WD6GGW,441.400000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
79,W6EE,441.450000,+,5.000000,Tone,85.4,88.5,023,NN,FM,5.00,,,,,,
80,W6YOP,441.475000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
81,W6CBS,441.612500,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
82,WA6BZS,441.975000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
83,WA6GG,442.050000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
84,N6MVT,442.075000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
85,K6HSV,442.100000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
86,WA6DUR,442.150000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
87,KD6QDW,442.250000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
88,WA6ZTY,442.275000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
89,K6GOD,442.350000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
90,K6JDE,442.375000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
91,KC6PGV,442.375000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
92,WB6NDJ,442.400000,+,5.000000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
93,KF6REK,442.475000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
94,K6ER,442.525000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
95,K6MFM,442.525000,+,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
96,N6MNV,442.700000,+,5.000000,Tone,173.8,88.5,023,NN,FM,5.00,,,,,,
97,KR6BEN,442.750000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
98,N6QOP,443.050000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
99,W6TP,443.100000,+,5.000000,DTCS,88.5,88.5,114,NN,FM,5.00,,,,,,
100,K6GWE,443.250000,+,5.000000,Tone,179.9,88.5,023,NN,FM,5.00,,,,,,
101,WB6JKV,443.325000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
102,AC6OT,443.350000,+,5.000000,Tone,186.2,88.5,023,NN,FM,5.00,,,,,,
103,WB6SHU,443.375000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
